foodname,foodtype,foodunit,subtype,weight,calorie,carbohydrate,protein,fat,Ca,Fe,P,K,fiber
全脂奶,乳品類,1,杯(240c.c/杯),240,150,12,8,8,240,0,199,353,0
全脂奶粉,乳品類,4,湯匙,30,150,12,8,8,274,0,207,349,0
起司片,乳品類,2,片,45,150,3,8,8,273,0,194,32,0
低脂奶 ,乳品類,1,杯(240c.c/杯),240,120,12,8,4,235,1,189,329,0
低脂奶粉,乳品類,3,湯匙,25,120,12,8,4,240,0,185,311,0
優格(無糖),乳品類,0.75,杯(210c.c/杯),210,120,12,8,4,216,0,191,365,0
優酪乳(無糖),乳品類,1,杯(240c.c/杯),240,120,12,8,4,216,0,180,415,0
脫脂奶 ,乳品類,1,杯(240c.c/杯),240,80,12,8,0,242,0,173,322,0
脫脂奶粉,乳品類,2.5,湯匙,20,80,12,8,0,281,0,208,352,0
蝦仁,豆魚蛋肉類(低脂),15,隻,50,55,0,7,3,24,0,28,16,0
鮪魚,豆魚蛋肉類(低脂),1,個三指寬,30,55,0,7,3,1,1,69,153,0
一般魚,豆魚蛋肉類(低脂),1,個三指寬,35,55,0,7,3,0,0,0,0,0
牡蠣,豆魚蛋肉類(低脂),8,顆,35,55,0,7,3,55,3,83,131,0
豬排(豬大里肌),豆魚蛋肉類(低脂),1,個三指寬,30,55,0,7,3,1,0,38,102,0
牛腱,豆魚蛋肉類(低脂),1,個三指寬,35,55,0,7,3,3,1,64,104,0
雞胸肉,豆魚蛋肉類(低脂),1,個三指寬,30,55,0,7,3,0,0,67,93,0
豬肝,豆魚蛋肉類(低脂),1,兩,20,55,0,7,3,1,3,98,89,0
蛋白,豆魚蛋肉類(低脂),2,顆,60,55,0,7,3,3,0,6,77,0
豆包,豆魚蛋肉類(低脂),0.5,個,30,55,0,7,3,19,1,117,115,0
無糖豆漿,豆魚蛋肉類(低脂),1,杯(190c.c/杯),190,55,0,7,3,27,1,129,268,2
麵腸,豆魚蛋肉類(低脂),0.5,條,35,55,0,7,3,2,1,31,13,0
虱目魚,豆魚蛋肉類(中脂),1,個三指寬,30,75,0,7,5,6,0,70,123,0
肉鯽魚,豆魚蛋肉類(中脂),1,個三指寬,30,75,0,7,5,6,0,67,116,0
鮭魚,豆魚蛋肉類(中脂),1,個三指寬,30,75,0,7,5,2,0,79,117,0
鱈魚,豆魚蛋肉類(中脂),1,個三指寬,50,75,0,7,5,9,0,83,143,0
肉燥,豆魚蛋肉類(中脂),1,湯匙,30,75,0,7,5,1,0,67,110,0
排骨(豬大排),豆魚蛋肉類(中脂),1,兩,30,75,0,7,5,0,0,0,0,0
豬小排,豆魚蛋肉類(中脂),1,個三指寬,30,75,0,7,5,0,0,0,0,0
豬後腿肉,豆魚蛋肉類(中脂),1,個三指寬,30,75,0,7,5,1,0,67,110,0
豬前腿肉,豆魚蛋肉類(中脂),1,個三指寬,30,75,0,7,5,1,0,58,95,0
羊肉,豆魚蛋肉類(中脂),1,個三指寬,30,75,0,7,5,3,1,60,98,0
豬腳,豆魚蛋肉類(中脂),1,兩,30,75,0,7,5,7,0,37,55,0
雞翅,豆魚蛋肉類(中脂),1,隻二節翅,40,75,0,7,5,3,0,47,71,0
鴨賞,豆魚蛋肉類(中脂),1,兩,25,75,0,7,5,7,1,56,146,0
豬肚,豆魚蛋肉類(中脂),1,兩,50,75,0,7,5,3,1,50,52,0
豬小腸,豆魚蛋肉類(中脂),1,兩,55,75,0,7,5,4,1,46,23,0
雞蛋,豆魚蛋肉類(中脂),1,顆,55,75,0,7,5,24,1,102,75,0
百頁結,豆魚蛋肉類(中脂),1,塊,50,75,0,7,5,0,0,0,0,0
油豆腐,豆魚蛋肉類(中脂),2,塊三角油豆腐,55,75,0,7,5,119,1,120,108,0
五香豆干,豆魚蛋肉類(中脂),1,片,35,75,0,7,5,96,2,102,88,0
小方豆干,豆魚蛋肉類(中脂),1,片,40,75,0,7,5,274,2,99,66,0
傳統豆腐,豆魚蛋肉類(中脂),1,格,80,75,0,7,5,112,2,89,144,0
嫩豆腐,豆魚蛋肉類(中脂),0.5,盒,140,75,0,7,5,18,2,102,231,0
秋刀魚,豆魚蛋肉類(高脂),1,個三指寬,35,125,0,7,10,4,0,64,83,0
雞心,豆魚蛋肉類(高脂),4,顆,45,125,0,7,10,2,2,52,95,0
素雞,豆魚蛋肉類(高脂),1,兩,40,125,0,7,10,0,0,0,0,0
素魚,豆魚蛋肉類(高脂),1,兩,35,125,0,7,10,0,0,0,0,0
百頁豆腐,豆魚蛋肉類(高脂),2,兩,70,125,0,7,10,23,1,86,12,0
爌肉,豆魚蛋肉類(極高脂),1,個三指寬,40,135,0,7,11,2,0,34,74,0
梅花肉,豆魚蛋肉類(極高脂),1,個三指寬,35,135,0,7,11,1,0,55,101,0
牛腩,豆魚蛋肉類(極高脂),1,個三指寬,40,135,0,7,11,4,1,51,139,0
豬大腸,豆魚蛋肉類(極高脂),1,兩,100,135,0,7,11,15,2,57,17,0
香腸,豆魚蛋肉類(極高脂),1,條,40,135,0,7,11,1,1,61,114,0
五花肉/三層肉,豆魚蛋肉類(極高脂),1,個三指寬,50,135,0,7,11,3,0,61,120,0
熱狗(小),豆魚蛋肉類(極高脂),2.5,小條,50,135,0,7,11,7,1,82,73,0
熱狗(大),豆魚蛋肉類(極高脂),1,大條,50,135,0,7,11,7,1,82,73,0
飯,全榖雜糧類,0.25,碗,40,70,15,2,0,0,0,16,16,0
五穀飯,全榖雜糧類,0.25,碗,40,70,15,2,0,4,0,69,52,1
糙米飯,全榖雜糧類,0.25,碗,40,70,15,2,0,2,0,52,44,1
粥,全榖雜糧類,0.5,碗,125,70,15,2,0,0,0,16,16,0
蘿蔔糕,全榖雜糧類,1,塊,50,70,15,2,0,3,4,14,16,0
豬血糕,全榖雜糧類,3,根手指頭寬,35,70,15,2,0,3,4,24,29,0
小湯圓,全榖雜糧類,10,粒,30,70,15,2,0,0,0,0,0,0
燒餅,全榖雜糧類,0.25,個,20,93,15,2,3,2,0,8,13,0
油條,全榖雜糧類,0.6,根,40,205,15,2,15,1,0,12,12,0
甜不辣,全榖雜糧類,0.5,碗,70,70,15,2,0,0,0,0,0,0
馬鈴薯,全榖雜糧類,0.5,個(中),90,70,15,2,0,4,1,34,347,1
地瓜,全榖雜糧類,0.5,個(小),55,70,15,2,0,25,0,23,152,0
山藥,全榖雜糧類,0.5,碗,80,70,15,2,0,5,1,40,442,1
芋頭,全榖雜糧類,0.5,個(中),55,70,15,2,0,14,1,43,266,1
蓮藕,全榖雜糧類,0.8,碗,100,70,15,2,0,24,1,64,327,3
麥片,全榖雜糧類,3,湯匙,20,70,15,2,0,8,0,23,66,1
麵條,全榖雜糧類,0.5,碗,60,70,15,2,0,3,0,47,75,1
油麵,全榖雜糧類,0.5,碗,45,70,15,2,0,7,0,37,41,1
義大利麵,全榖雜糧類,0.5,碗,20,70,15,2,0,0,0,0,0,0
饅頭(中),全榖雜糧類,1,個,90,210,45,6,0,19,0,52,59,1
吐司,全榖雜糧類,1,片,30,70,15,2,0,8,0,30,30,1
餐包,全榖雜糧類,1,個(小),30,70,15,2,0,18,0,37,41,1
